============================================================
HW2: LLM Inference Optimization
Model: Tiny random Llama (2 layers, d_model=2048)
============================================================

--- Part 1: Slow baseline ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      99.644us         0.04%      99.644us       1.384us           0 B           0 B           0 B           0 B            72  
                                            aten::copy_         0.20%     554.808us         0.31%     847.288us       4.630us      97.022us         0.04%      97.022us       0.530us           0 B           0 B           0 B           0 B           183  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      92.766us         0.04%      92.766us       2.577us           0 B           0 B           0 B           0 B            36  
                                              aten::sin         0.08%     216.369us         0.14%     399.150us      11.088us      88.862us         0.04%      88.862us       2.468us           0 B           0 B      62.14 MB      62.14 MB            36  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      88.862us         0.04%      88.862us       2.468us           0 B           0 B           0 B           0 B            36  
                                              aten::cos         0.10%     276.229us         0.16%     442.051us      12.279us      88.321us         0.04%      88.321us       2.453us           0 B           0 B      62.14 MB      62.14 MB            36  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      88.321us         0.04%      88.321us       2.453us           0 B           0 B           0 B           0 B            36  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us      69.376us         0.03%      69.376us       1.927us           0 B           0 B           0 B           0 B            36  
                              aten::_local_scalar_dense         0.10%     275.986us        57.36%     157.947ms       4.387ms      56.863us         0.02%      56.863us       1.580us           0 B           0 B           0 B           0 B            36  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us      56.863us         0.02%      56.863us       1.580us           0 B           0 B           0 B           0 B            36  
                                           aten::arange         0.14%     378.975us         0.47%       1.285ms      17.840us      35.296us         0.01%      70.592us       0.980us           0 B           0 B     609.00 KB           0 B            72  
void (anonymous namespace)::elementwise_kernel_with_...         0.00%       0.000us         0.00%       0.000us       0.000us      35.296us         0.01%      35.296us       0.980us           0 B           0 B           0 B           0 B            36  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       4.256us         0.00%       4.256us       1.419us           0 B           0 B           0 B           0 B             3  
                                          ProfilerStep*         0.06%     155.197us       100.00%     275.338ms      91.779ms       0.000us         0.00%     239.833ms      79.944ms           0 B           0 B           0 B           0 B             3  
                                        model inference        16.74%      46.097ms        99.94%     275.183ms      91.728ms       0.000us         0.00%     239.833ms      79.944ms           0 B      -1.12 KB           0 B     -22.95 GB             3  
                                            aten::clone         0.01%      28.168us         0.05%     139.627us      46.542us       0.000us         0.00%       4.256us       1.419us           0 B           0 B      24.00 KB           0 B             3  
                                    aten::empty_strided         0.21%     587.343us         0.21%     587.343us       3.210us       0.000us         0.00%       0.000us       0.000us           0 B           0 B     184.50 KB     184.50 KB           183  
                                        cudaMemcpyAsync         0.16%     439.474us         0.16%     439.474us      11.269us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            39  
                                        aten::embedding         0.12%     328.344us         0.80%       2.200ms      61.112us       0.000us         0.00%     233.407us       6.484us           0 B           0 B     289.55 MB           0 B            36  
                                          aten::reshape         0.31%     849.066us         0.75%       2.077ms       2.885us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           720  
                                             aten::view         0.60%       1.655ms         0.60%       1.655ms       1.642us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          1008  
                                     aten::index_select         0.17%     467.488us         0.62%       1.718ms      47.717us       0.000us         0.00%     233.407us       6.484us           0 B           0 B     289.55 MB           0 B            36  
