============================================================
HW2: LLM Inference Optimization
Model: Tiny random Llama (2 layers, d_model=2048)
============================================================

--- Part 1: Slow baseline ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                             Torch-Compiled Region: 0/0         0.58%     485.445us         6.43%       5.411ms       1.804ms       0.000us         0.00%       1.763ms     587.591us          96 B           0 B     463.75 MB           0 B             3  
                                      Pregraph bytecode         1.18%     996.314us         1.18%     996.314us      27.675us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            36  
                 AOTDispatcher Runtime Wrapper Prologue         0.72%     603.345us         0.72%     603.345us      16.760us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            36  
                                       CompiledFunction         7.90%       6.647ms        78.98%      66.478ms       1.847ms       0.000us         0.00%      11.693ms     324.816us       1.12 KB           0 B     999.54 MB           0 B            36  
## Call CompiledFxGraph fzpncvnl43xazscwnevm5jpv2n53...         3.01%       2.537ms         5.12%       4.313ms       1.438ms       0.000us         0.00%       1.763ms     587.591us          96 B           0 B     463.75 MB     439.56 MB             3  
                                         cuLaunchKernel         3.71%       3.120ms         3.71%       3.120ms       4.952us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           630  
                                 cudaDeviceGetAttribute         0.03%      26.565us         0.03%      26.565us       0.738us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            36  
                                       cuLaunchKernelEx         3.03%       2.553ms         3.03%       2.553ms       4.728us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           540  
          aten::_scaled_dot_product_efficient_attention         0.76%     641.824us         4.58%       3.855ms      53.537us       0.000us         0.00%       4.470ms      62.088us       1.12 KB           0 B      24.51 MB           0 B            72  
                                        aten::transpose         0.62%     521.963us         0.91%     768.655us       2.669us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           288  
                                       aten::as_strided         0.44%     373.674us         0.44%     373.674us       0.859us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           435  
                                  cudaStreamIsCapturing         0.09%      73.063us         0.09%      73.063us       1.015us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            72  
                                   cudaFuncSetAttribute         0.11%      92.719us         0.11%      92.719us       1.288us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            72  
                                       cudaLaunchKernel         1.24%       1.043ms         1.24%       1.043ms       5.997us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           174  
                                           aten::select         0.52%     434.087us         0.61%     513.749us       6.850us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            75  
                                        cudaMemcpyAsync         0.62%     519.626us         0.62%     519.626us      13.324us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            39  
                                        aten::unsqueeze         0.17%     142.558us         0.20%     165.363us       4.593us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            36  
                             Torch-Compiled Region: 0/1         0.42%     356.723us         6.71%       5.650ms       1.883ms       0.000us         0.00%     903.393us     301.131us          96 B           0 B      48.47 MB           0 B             3  
## Call CompiledFxGraph f6ud74qu6ylpryh2hgzc2bkwyvef...         3.22%       2.712ms         5.54%       4.662ms       1.554ms       0.000us         0.00%     903.393us     301.131us          96 B           0 B      48.47 MB      48.44 MB             3  
                                           aten::detach         0.06%      50.590us         0.21%     176.715us       5.355us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            33  
                                                 detach         0.15%     126.125us         0.15%     126.125us       3.822us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            33  
                             Torch-Compiled Region: 0/2         4.92%       4.138ms        73.65%      61.996ms       2.067ms       0.000us         0.00%       9.027ms     300.907us         960 B           0 B     487.32 MB           0 B            30  
## Call CompiledFxGraph fuyqfbbmde2paglpglp5ul5hufbi...        37.09%      31.220ms        60.21%      50.679ms       1.689ms       0.000us         0.00%       9.027ms     300.907us         960 B           0 B     487.32 MB     487.03 MB            30  
                                     aten::resolve_conj         0.00%       1.816us         0.00%       1.816us       0.605us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             3  
                                      aten::resolve_neg         0.00%       1.129us         0.00%       1.129us       0.376us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             3  
                                               aten::to         0.01%       6.680us         0.15%     125.592us      41.864us       0.000us         0.00%       4.768us       1.589us         288 B           0 B           0 B           0 B             3  
                                         aten::_to_copy         0.02%      19.833us         0.14%     118.912us      39.637us       0.000us         0.00%       4.768us       1.589us         288 B           0 B           0 B           0 B             3  
                                    aten::empty_strided         0.01%      11.081us         0.01%      11.081us       3.694us       0.000us         0.00%       0.000us       0.000us         288 B         288 B           0 B           0 B             3  
                                  cudaStreamSynchronize         0.01%      12.457us         0.01%      12.457us       4.152us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             3  
                                  cudaDeviceSynchronize         0.01%       8.704us         0.01%       8.704us       8.704us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 84.172ms
Self CUDA time total: 11.918ms

optimised: 128 tokens in 0.15s (834.3 tok/s)
Token preview: [775, 1973, 97, 2453, 295, 695, 775, 866]

============================================================
SUMMARY
============================================================
  Slow:        0.95s
  Optimized:   0.15s
  Speedup:     6.22x  (vs V0 slow baseline)
