============================================================
HW2: LLM Inference Optimization
Model: Tiny random Llama (2 layers, d_model=2048)
============================================================

--- Part 1: Slow baseline ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      99.976us         0.04%      99.976us       1.389us           0 B           0 B           0 B           0 B            72  
                                            aten::copy_         0.20%     540.459us         0.30%     820.437us       4.483us      97.250us         0.04%      97.250us       0.531us           0 B           0 B           0 B           0 B           183  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      92.961us         0.04%      92.961us       2.582us           0 B           0 B           0 B           0 B            36  
                                              aten::cos         0.10%     277.549us         0.17%     457.930us      12.720us      89.280us         0.04%      89.280us       2.480us           0 B           0 B      62.14 MB      62.14 MB            36  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      89.280us         0.04%      89.280us       2.480us           0 B           0 B           0 B           0 B            36  
                                              aten::sin         0.08%     232.922us         0.14%     395.375us      10.983us      88.284us         0.04%      88.284us       2.452us           0 B           0 B      62.14 MB      62.14 MB            36  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      88.284us         0.04%      88.284us       2.452us           0 B           0 B           0 B           0 B            36  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us      70.308us         0.03%      70.308us       1.953us           0 B           0 B           0 B           0 B            36  
                              aten::_local_scalar_dense         0.10%     271.557us        58.06%     160.192ms       4.450ms      57.119us         0.02%      57.119us       1.587us           0 B           0 B           0 B           0 B            36  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us      57.119us         0.02%      57.119us       1.587us           0 B           0 B           0 B           0 B            36  
                                           aten::arange         0.13%     357.540us         0.45%       1.229ms      17.063us      35.454us         0.01%      70.908us       0.985us           0 B           0 B     609.00 KB           0 B            72  
void (anonymous namespace)::elementwise_kernel_with_...         0.00%       0.000us         0.00%       0.000us       0.000us      35.454us         0.01%      35.454us       0.985us           0 B           0 B           0 B           0 B            36  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       4.289us         0.00%       4.289us       1.430us           0 B           0 B           0 B           0 B             3  
                                          ProfilerStep*         0.05%     143.354us       100.00%     275.878ms      91.959ms       0.000us         0.00%     240.878ms      80.293ms           0 B           0 B           0 B           0 B             3  
                                        model inference        16.50%      45.535ms        99.95%     275.735ms      91.912ms       0.000us         0.00%     240.878ms      80.293ms           0 B      -1.12 KB           0 B     -22.95 GB             3  
                                            aten::clone         0.01%      24.727us         0.05%     131.760us      43.920us       0.000us         0.00%       4.289us       1.430us           0 B           0 B      24.00 KB           0 B             3  
                                    aten::empty_strided         0.21%     578.178us         0.21%     578.178us       3.159us       0.000us         0.00%       0.000us       0.000us           0 B           0 B     184.50 KB     184.50 KB           183  
                                        cudaMemcpyAsync         0.16%     437.785us         0.16%     437.785us      11.225us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            39  
                                        aten::embedding         0.12%     317.548us         0.77%       2.121ms      58.923us       0.000us         0.00%     233.374us       6.483us           0 B           0 B     289.55 MB           0 B            36  
                                          aten::reshape         0.28%     783.191us         0.71%       1.973ms       2.740us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           720  
                                             aten::view         0.58%       1.600ms         0.58%       1.600ms       1.588us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          1008  
                                     aten::index_select         0.16%     448.678us         0.61%       1.675ms      46.536us       0.000us         0.00%     233.374us       6.483us           0 B           0 B     289.55 MB           0 B            36  
                                            aten::empty         0.38%       1.045ms         0.38%       1.045ms       2.074us       0.000us         0.00%       0.000us       0.000us       1.11 KB       1.11 KB     581.41 MB     581.41 MB           504  
                                          aten::resize_         0.08%     224.173us         0.08%     224.173us       3.114us       0.000us         0.00%       0.000us       0.000us           0 B           0 B     289.84 MB     289.84 MB            72  
                                           aten::expand         0.13%     369.113us         0.21%     581.918us       4.041us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           144  
                                       aten::as_strided         0.56%       1.550ms         0.56%       1.550ms       0.756us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          2052  
                                       cudaLaunchKernel         4.39%      12.114ms         4.39%      12.114ms       4.547us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          2664  
                                        aten::unsqueeze         0.30%     814.251us         0.37%       1.011ms       3.120us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           324  
                                               aten::to         0.20%     547.468us         0.90%       2.477ms       2.646us       0.000us         0.00%      92.961us       0.099us           0 B           0 B     160.50 KB           0 B           936  
                                         aten::_to_copy         0.23%     637.733us         0.70%       1.929ms      10.718us       0.000us         0.00%      92.961us       0.516us           0 B           0 B     160.50 KB           0 B           180  
                                           aten::matmul         0.84%       2.309ms         7.53%      20.773ms      36.065us       0.000us         0.00%     207.110ms     359.567us           0 B           0 B       6.80 GB           0 B           576  
                                 cudaDeviceGetAttribute         0.01%      29.026us         0.01%      29.026us       0.806us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            36  
                                         cuLaunchKernel         0.07%     185.621us         0.07%     185.621us       5.156us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            36  
                                     aten::_unsafe_view         0.37%       1.012ms         0.37%       1.012ms       1.757us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           576  
                                        aten::transpose         0.84%       2.316ms         1.14%       3.157ms       2.741us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          1152  
                                      aten::result_type         0.04%     110.189us         0.04%     110.189us       0.612us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           180  
                                           aten::linear         0.37%       1.028ms         8.08%      22.304ms      41.304us       0.000us         0.00%     207.000ms     383.333us           0 B           0 B       6.79 GB           0 B           540  
                                                aten::t         0.45%       1.241ms         0.93%       2.562ms       4.745us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           540  
                                        cudaMemsetAsync         0.70%       1.937ms         0.70%       1.937ms       3.587us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           540  
                                    cudaLaunchKernelExC         0.88%       2.439ms         0.88%       2.439ms       4.516us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           540  
                                            aten::slice         0.36%     996.707us         0.44%       1.201ms       4.172us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           288  
                                       aten::lift_fresh         0.02%      61.947us         0.02%      61.947us       0.430us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           144  
                                          aten::detach_         0.06%     155.121us         0.08%     214.586us       1.490us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           144  
                                                detach_         0.02%      59.465us         0.02%      59.465us       0.413us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           144  
                     aten::scaled_dot_product_attention         0.22%     598.400us         1.48%       4.086ms      56.752us       0.000us         0.00%      16.675ms     231.603us       1.12 KB           0 B     581.41 MB           0 B            72  
