============================================================
HW2: LLM Inference Optimization
Model: Tiny random Llama (2 layers, d_model=2048)
============================================================

--- Part 1: Slow baseline ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      99.110us         0.04%      99.110us       1.377us           0 B           0 B           0 B           0 B            72  
                                            aten::copy_         0.20%     553.302us         0.30%     837.436us       4.576us      97.408us         0.04%      97.408us       0.532us           0 B           0 B           0 B           0 B           183  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      93.087us         0.04%      93.087us       2.586us           0 B           0 B           0 B           0 B            36  
                                              aten::cos         0.10%     283.658us         0.17%     459.794us      12.772us      88.542us         0.04%      88.542us       2.459us           0 B           0 B      62.14 MB      62.14 MB            36  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      88.542us         0.04%      88.542us       2.459us           0 B           0 B           0 B           0 B            36  
                                              aten::sin         0.08%     231.230us         0.15%     415.268us      11.535us      88.260us         0.04%      88.260us       2.452us           0 B           0 B      62.14 MB      62.14 MB            36  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      88.260us         0.04%      88.260us       2.452us           0 B           0 B           0 B           0 B            36  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us      69.507us         0.03%      69.507us       1.931us           0 B           0 B           0 B           0 B            36  
                              aten::_local_scalar_dense         0.10%     280.048us        56.29%     155.203ms       4.311ms      56.993us         0.02%      56.993us       1.583us           0 B           0 B           0 B           0 B            36  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us      56.993us         0.02%      56.993us       1.583us           0 B           0 B           0 B           0 B            36  
                                           aten::arange         0.14%     378.110us         0.49%       1.337ms      18.576us      35.360us         0.01%      70.720us       0.982us           0 B           0 B     609.00 KB           0 B            72  
