============================================================
HW2: LLM Inference Optimization
Model: Tiny random Llama (2 layers, d_model=2048)
============================================================

--- Part 1: Slow baseline ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     100.254us         0.04%     100.254us       1.392us           0 B           0 B           0 B           0 B            72  
                                            aten::copy_         0.20%     561.923us         0.31%     871.879us       4.764us      98.432us         0.04%      98.432us       0.538us           0 B           0 B           0 B           0 B           183  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      94.177us         0.04%      94.177us       2.616us           0 B           0 B           0 B           0 B            36  
                                              aten::cos         0.10%     273.716us         0.17%     478.382us      13.288us      89.502us         0.04%      89.502us       2.486us           0 B           0 B      62.14 MB      62.14 MB            36  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      89.502us         0.04%      89.502us       2.486us           0 B           0 B           0 B           0 B            36  
                                              aten::sin         0.08%     221.075us         0.15%     411.447us      11.429us      88.383us         0.04%      88.383us       2.455us           0 B           0 B      62.14 MB      62.14 MB            36  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      88.383us         0.04%      88.383us       2.455us           0 B           0 B           0 B           0 B            36  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us      69.794us         0.03%      69.794us       1.939us           0 B           0 B           0 B           0 B            36  
                              aten::_local_scalar_dense         0.10%     272.681us        56.94%     158.149ms       4.393ms      57.215us         0.02%      57.215us       1.589us           0 B           0 B           0 B           0 B            36  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us      57.215us         0.02%      57.215us       1.589us           0 B           0 B           0 B           0 B            36  
                                           aten::arange         0.14%     376.314us         0.48%       1.339ms      18.602us      35.491us         0.01%      70.982us       0.986us           0 B           0 B     609.00 KB           0 B            72  
void (anonymous namespace)::elementwise_kernel_with_...         0.00%       0.000us         0.00%       0.000us       0.000us      35.491us         0.01%      35.491us       0.986us           0 B           0 B           0 B           0 B            36  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       4.255us         0.00%       4.255us       1.418us           0 B           0 B           0 B           0 B             3  
                                          ProfilerStep*         0.05%     140.683us       100.00%     277.734ms      92.578ms       0.000us         0.00%     241.348ms      80.449ms           0 B           0 B           0 B           0 B             3  
                                        model inference        16.80%      46.672ms        99.95%     277.593ms      92.531ms       0.000us         0.00%     241.348ms      80.449ms           0 B      -1.12 KB           0 B     -22.95 GB             3  
                                            aten::clone         0.01%      27.738us         0.05%     135.192us      45.064us       0.000us         0.00%       4.255us       1.418us           0 B           0 B      24.00 KB           0 B             3  
                                    aten::empty_strided         0.22%     610.268us         0.22%     610.268us       3.335us       0.000us         0.00%       0.000us       0.000us           0 B           0 B     184.50 KB     184.50 KB           183  
                                        cudaMemcpyAsync         0.16%     440.180us         0.16%     440.180us      11.287us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            39  
                                        aten::embedding         0.12%     335.494us         0.81%       2.236ms      62.117us       0.000us         0.00%     233.886us       6.497us           0 B           0 B     289.55 MB           0 B            36  
                                          aten::reshape         0.31%     870.579us         0.78%       2.164ms       3.005us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           720  
                                             aten::view         0.62%       1.725ms         0.62%       1.725ms       1.712us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          1008  
                                     aten::index_select         0.17%     463.237us         0.64%       1.769ms      49.143us       0.000us         0.00%     233.886us       6.497us           0 B           0 B     289.55 MB           0 B            36  
                                            aten::empty         0.39%       1.072ms         0.39%       1.072ms       2.127us       0.000us         0.00%       0.000us       0.000us       1.10 KB       1.10 KB     581.41 MB     581.41 MB           504  
                                          aten::resize_         0.09%     241.945us         0.09%     241.945us       3.360us       0.000us         0.00%       0.000us       0.000us           0 B           0 B     289.84 MB     289.84 MB            72  
                                           aten::expand         0.14%     402.473us         0.21%     596.693us       4.144us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           144  
                                       aten::as_strided         0.58%       1.604ms         0.58%       1.604ms       0.782us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          2052  
                                       cudaLaunchKernel         4.84%      13.451ms         4.84%      13.451ms       5.049us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          2664  
                                        aten::unsqueeze         0.30%     839.664us         0.38%       1.049ms       3.237us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           324  
                                               aten::to         0.20%     557.710us         0.94%       2.614ms       2.793us       0.000us         0.00%      94.177us       0.101us           0 B           0 B     160.50 KB           0 B           936  
                                         aten::_to_copy         0.25%     681.967us         0.74%       2.057ms      11.426us       0.000us         0.00%      94.177us       0.523us           0 B           0 B     160.50 KB           0 B           180  
                                           aten::matmul         0.86%       2.380ms         7.73%      21.475ms      37.283us       0.000us         0.00%     207.457ms     360.169us           0 B           0 B       6.80 GB           0 B           576  
                                 cudaDeviceGetAttribute         0.01%      30.014us         0.01%      30.014us       0.834us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            36  
                                         cuLaunchKernel         0.07%     199.777us         0.07%     199.777us       5.549us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            36  
                                     aten::_unsafe_view         0.38%       1.061ms         0.38%       1.061ms       1.842us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           576  
                                        aten::transpose         0.87%       2.406ms         1.18%       3.289ms       2.855us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          1152  
                                      aten::result_type         0.04%     107.322us         0.04%     107.322us       0.596us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           180  
                                           aten::linear         0.40%       1.107ms         8.32%      23.098ms      42.774us       0.000us         0.00%     207.347ms     383.976us           0 B           0 B       6.79 GB           0 B           540  
                                                aten::t         0.46%       1.270ms         0.95%       2.650ms       4.908us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           540  
                                        cudaMemsetAsync         0.68%       1.887ms         0.68%       1.887ms       3.494us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           540  
                                    cudaLaunchKernelExC         0.95%       2.647ms         0.95%       2.647ms       4.902us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           540  
                                            aten::slice         0.39%       1.077ms         0.47%       1.295ms       4.496us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           288  
                                       aten::lift_fresh         0.02%      60.086us         0.02%      60.086us       0.417us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           144  
                                          aten::detach_         0.06%     153.715us         0.08%     215.313us       1.495us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           144  
                                                detach_         0.02%      61.598us         0.02%      61.598us       0.428us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           144  
                     aten::scaled_dot_product_attention         0.22%     598.549us         1.50%       4.154ms      57.689us       0.000us         0.00%      16.781ms     233.063us       1.12 KB           0 B     581.41 MB           0 B            72  
          aten::_scaled_dot_product_efficient_attention         0.31%     862.227us         1.28%       3.555ms      49.376us       0.000us         0.00%      16.781ms     233.063us       1.12 KB           0 B     581.41 MB           0 B            72  
                                  cudaStreamIsCapturing         0.02%      58.154us         0.02%      58.154us       0.808us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            72  
                                   cudaFuncSetAttribute         0.04%     106.676us         0.04%     106.676us       1.482us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            72  
                                            aten::alias         0.05%     130.812us         0.05%     130.812us       3.634us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            36  
                                           aten::select         0.08%     235.968us         0.10%     273.342us       7.593us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            36  
                                             aten::item         0.03%      75.298us        56.97%     158.224ms       4.395ms       0.000us         0.00%      57.215us       1.589us           0 B           0 B           0 B           0 B            36  
                                  cudaStreamSynchronize        56.70%     157.487ms        56.70%     157.487ms       4.375ms       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            36  
                                  cudaDeviceSynchronize         0.00%       7.954us         0.00%       7.954us       7.954us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 277.742ms
Self CUDA time total: 241.348ms

Slow: 128 tokens in 0.96s (134.0 tok/s)
Token preview: [775, 1973, 97, 2453, 295, 695, 775, 866]

--- Part 2: Optimized ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        model inference         0.00%       0.000us         0.00%       0.000us       0.000us     111.655ms       805.84%     111.655ms      37.218ms           0 B           0 B           0 B           0 B             3  
                                               aten::mm         7.95%       9.112ms        10.52%      12.055ms      22.323us       5.484ms        39.58%       5.484ms      10.156us           0 B           0 B     291.09 MB     291.09 MB           540  
                      nvjet_tst_64x8_64x16_4x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       3.571ms        25.77%       3.571ms       8.325us           0 B           0 B           0 B           0 B           429  
                                              aten::cat         2.32%       2.654ms         3.67%       4.208ms      12.989us       1.763ms        12.72%       1.763ms       5.440us           0 B           0 B     630.64 MB     630.64 MB           324  
